E,F [phot/cm^2/s/keV]
15.0,0.001525161695785564
24.949494949494948,0.00025699172581273845
34.898989898989896,7.939447774844135e-05
44.84848484848485,3.300031473287671e-05
54.7979797979798,1.6366634296871807e-05
64.74747474747474,9.12757423903937e-06
74.6969696969697,5.534454904646886e-06
84.64646464646465,3.572764677696839e-06
94.5959595959596,2.4214819788718697e-06
104.54545454545455,1.706346606163983e-06
114.4949494949495,1.2413182533729758e-06
124.44444444444444,9.273015802527017e-07
134.3939393939394,7.08445426830789e-07
144.34343434343435,5.517542365648809e-07
154.2929292929293,4.369424214048635e-07
164.24242424242425,3.5110465130680846e-07
174.1919191919192,2.857835862516778e-07
184.14141414141415,2.3529090328188352e-07
194.0909090909091,1.9571184742144532e-07
204.04040404040404,1.6429664089606652e-07
213.989898989899,1.3907812853862262e-07
223.93939393939394,1.1862563532026647e-07
233.88888888888889,1.018830009646021e-07
243.83838383838383,8.805987144544285e-08
253.7878787878788,7.655740970094941e-08
263.7373737373738,6.691668618426113e-08
273.6868686868687,5.878228087068803e-08
283.6363636363636,5.187625485664318e-08
293.5858585858586,4.597929752043738e-08
303.5353535353535,4.0916908234335806e-08
313.4848484848485,3.654915605533337e-08
323.4343434343434,3.276301274296864e-08
333.3838383838384,2.946655723796689e-08
343.33333333333337,2.6584555379778203e-08
353.2828282828283,2.4055060095134355e-08
363.23232323232327,2.1826775753797326e-08
373.1818181818182,1.9856999695601542e-08
383.13131313131316,1.811000323208032e-08
393.0808080808081,1.655574984058573e-08
403.03030303030306,1.5168873947235116e-08
412.979797979798,1.3927862478431871e-08
422.92929292929296,1.2814395215379976e-08
432.8787878787879,1.1812810286198287e-08
442.82828282828285,1.0909668845431926e-08
452.77777777777777,1.0093398810989235e-08
462.72727272727275,9.354001949079453e-09
472.67676767676767,8.68281197693898e-09
482.62626262626264,8.072293952272144e-09
492.5757575757576,7.51587722926494e-09
502.52525252525254,7.00781582564384e-09
512.4747474747476,6.5430712691731704e-09
522.4242424242425,6.11721395434545e-09
532.3737373737374,5.726339800464712e-09
542.3232323232323,5.366999606073695e-09
552.2727272727273,5.0361389762070216e-09
562.2222222222223,4.731047084690436e-09
572.1717171717172,4.449312844010989e-09
582.1212121212121,4.18878730591968e-09
592.070707070707,3.947551319162208e-09
602.0202020202021,3.7238876361514213e-09
611.969696969697,3.516256795523181e-09
621.9191919191919,3.323276218289493e-09
631.8686868686868,3.143702046416904e-09
641.8181818181819,2.9764133278482296e-09
651.7676767676768,2.8203982142315446e-09
661.7171717171717,2.674741889308167e-09
671.6666666666667,2.5386159889594657e-09
681.6161616161617,2.4112693098676918e-09
691.5656565656566,2.2920196338610714e-09
701.5151515151515,2.1802465203048343e-09
711.4646464646465,2.075384940195793e-09
721.4141414141415,1.9769196435954645e-09
731.3636363636364,1.884380167249968e-09
741.3131313131313,1.7973364021499917e-09
751.2626262626263,1.715394651756589e-09
761.2121212121212,1.6381941209690568e-09
771.1616161616162,1.5654037838968752e-09
781.1111111111111,1.4967195853325453e-09
791.0606060606061,1.431861936684078e-09
801.010101010101,1.370573472163669e-09
810.959595959596,1.3126170353670743e-09
820.909090909091,1.2577738701208411e-09
830.8585858585859,1.2058419927095534e-09
840.8080808080808,1.1566347253966242e-09
850.7575757575758,1.1099793735823513e-09
860.7070707070708,1.0657160310547806e-09
870.6565656565657,1.0236964996272369e-09
880.6060606060606,9.83783311059233e-10
890.5555555555555,9.458488405573175e-10
900.5050505050506,9.097745023768427e-10
910.4545454545455,8.754500191183506e-10
920.4040404040404,8.427727572534072e-10
930.3535353535353,8.116471222417143e-10
940.3030303030304,7.819840073289946e-10
950.2525252525253,7.537002907563852e-10
960.2020202020202,7.267183766778784e-10
970.1515151515152,7.009657755823048e-10
980.1010101010102,6.763747204586759e-10
990.0505050505051,6.528818153355579e-10
1000.0,6.304277131727407e-10
